FEvals,Fitness
0.0,1380.8559100355549
2.0,1322.5598991426866
3.0,1294.070165093823
4.0,1308.782331821435
5.0,1318.221813366414
6.0,1270.1549812524045
7.0,1230.5344833959446
8.0,1140.9639737907307
9.0,1195.3504194149118
10.0,1155.4682077755056
11.0,1193.0648296913043
12.0,1131.339161366606
13.0,1112.1756735864108
14.0,1103.377290587905
15.0,1082.92096329915
16.0,1080.1386036809072
17.0,1072.9685949500974
18.0,1067.6056688462047
19.0,1058.235856208337
20.0,1033.5524879899112
21.0,1022.1766843166978
22.0,1006.4438862571349
23.0,1019.5709646487921
24.0,1025.3133870344247
25.0,990.9259833326088
26.0,997.3414558366111
27.0,1005.0207727632885
28.0,989.76873828117
29.0,998.5166633266709
30.0,997.3370847555178
31.0,988.8879277551264
32.0,977.5931153027794
33.0,977.5931153027794
34.0,1002.6255899949234
35.0,977.4244352620223
36.0,977.4244352620223
37.0,1002.6255899949234
38.0,955.1429092446679
39.0,969.5151638856112
40.0,969.5151638856112
41.0,986.080541369307
42.0,969.3085827470777
43.0,939.7305061308663
44.0,962.8732515280104
45.0,947.8589201906852
46.0,917.709527194632
47.0,935.6864059086284
48.0,935.6864059086284
49.0,939.8129710399392
50.0,935.3177710085896
51.0,934.2530696443108
52.0,916.5679182907696
53.0,935.4792611066163
54.0,945.2001785156433
55.0,938.624355455062
56.0,911.7622367909354
57.0,907.6393457448812
58.0,885.9089467591247
59.0,893.7844300328547
60.0,893.7844300328547
61.0,904.0088259811457
62.0,897.3183191621853
63.0,891.5266874600273
64.0,891.5266874600273
65.0,897.3183191621853
66.0,888.6575076232865
67.0,900.4081876187992
68.0,878.7931534273367
69.0,880.8491880232049
70.0,880.8491880232049
71.0,880.8491880232049
72.0,880.8157692654671
73.0,875.4408293412159
74.0,875.4408293412159
75.0,875.4608384702833
76.0,834.8036096003528
77.0,865.4056377799591
78.0,837.5971064262167
79.0,863.5363854571407
80.0,859.3342313375537
81.0,846.701538785182
82.0,846.701538785182
83.0,849.9809482500503
84.0,844.0948833004799
85.0,815.3782468186043
86.0,844.0903802986471
87.0,844.0903802986471
88.0,849.9902757914424
89.0,822.1816529519521
90.0,822.1816529519521
91.0,822.1816529519521
92.0,822.1816529519521
93.0,822.1816529519521
94.0,822.1816529519521
95.0,822.1816529519521
96.0,779.8975611606621
97.0,814.8714424069542
98.0,814.8714424069542
99.0,814.8714424069542
100.0,814.8714424069542
101.0,822.876749260973
102.0,812.3187113354571
103.0,812.3187113354571
104.0,814.8678367236579
105.0,809.8518149081187
106.0,809.8518149081187
107.0,809.8518149081187
108.0,809.8518149081187
109.0,776.2433115130488
110.0,802.1258172592057
111.0,802.1258172592057
112.0,802.1258172592057
113.0,765.9811551199806
114.0,789.1314360455776
115.0,773.2678636273868
116.0,784.710459230141
117.0,781.8911490274686
118.0,773.9894147038024
119.0,773.9894147038024
120.0,773.9894147038024
121.0,773.9894147038024
122.0,773.9894147038024
123.0,773.9894147038024
124.0,764.7920653560797
