Iteration,Fitness
0,1380.8559100355549
1,995.7227479718715
2,959.2291646228895
3,922.3358746582128
4,918.5360721586503
5,905.65648425934
6,905.65648425934
7,905.65648425934
8,905.65648425934
9,894.4475357865191
10,894.4475357865191
11,894.4475357865191
12,894.4475357865191
13,894.4475357865191
14,894.4475357865191
15,894.4475357865191
16,894.4475357865191
17,894.4475357865191
18,894.4475357865191
19,894.4475357865191
20,891.894804715022
21,891.894804715022
22,891.894804715022
23,891.894804715022
24,891.894804715022
25,891.894804715022
26,891.894804715022
27,891.894804715022
28,891.894804715022
29,891.894804715022
30,891.894804715022
31,891.894804715022
32,891.894804715022
33,891.894804715022
34,891.894804715022
35,891.894804715022
36,891.894804715022
37,891.894804715022
38,891.894804715022
39,891.894804715022
40,891.894804715022
41,891.894804715022
42,891.894804715022
43,891.894804715022
44,891.894804715022
45,891.894804715022
46,891.894804715022
47,891.894804715022
48,891.894804715022
49,891.894804715022
50,891.894804715022
51,891.894804715022
52,891.894804715022
53,891.894804715022
54,891.894804715022
55,891.894804715022
56,891.894804715022
57,891.894804715022
58,891.894804715022
59,891.894804715022
60,891.894804715022
61,891.894804715022
62,891.894804715022
63,891.894804715022
64,891.894804715022
65,891.894804715022
66,891.894804715022
67,891.894804715022
68,891.894804715022
69,891.894804715022
70,891.894804715022
71,891.894804715022
72,891.894804715022
73,891.894804715022
74,891.894804715022
75,891.894804715022
76,891.894804715022
77,891.894804715022
78,891.894804715022
79,891.894804715022
80,891.894804715022
81,891.894804715022
82,891.894804715022
83,891.894804715022
84,891.894804715022
85,891.894804715022
86,891.894804715022
87,891.894804715022
88,891.894804715022
89,891.894804715022
90,891.894804715022
91,891.894804715022
92,891.894804715022
93,891.894804715022
94,891.894804715022
95,891.894804715022
96,891.894804715022
97,891.894804715022
98,891.894804715022
99,891.894804715022
100,891.894804715022
101,891.894804715022
102,890.6416044130336
103,850.976328280832
104,819.9902440737751
105,819.9902440737751
106,779.3870454121347
107,779.3870454121347
108,779.3870454121347
109,779.3870454121347
110,779.3870454121347
111,779.3870454121347
112,779.3870454121347
113,779.3870454121347
114,779.3870454121347
115,779.3870454121347
116,779.3870454121347
117,779.3870454121347
118,779.3870454121347
119,779.3870454121347
120,779.3870454121347
