FEvals,Fitness
10.0,1380.8559100355549
21.0,1002.2105229646652
22.0,1060.291666216315
32.0,1002.2105229646652
33.0,994.8206622229475
34.0,1002.0755184082585
44.0,961.3710128680744
45.0,936.8599162248764
46.0,934.2358433140622
55.0,1018.1114265181636
56.0,894.4128519789828
57.0,917.4490305496852
58.0,905.310050667581
66.0,1018.1114265181636
67.0,894.4128519789828
68.0,924.4125764447163
69.0,877.5655840805778
77.0,1018.1114265181636
78.0,879.4486744172561
79.0,889.5644178600865
80.0,862.7961795783816
88.0,1018.1114265181636
89.0,879.4486744172561
90.0,903.5840365396717
91.0,860.3570324204195
99.0,1018.1114265181636
101.0,835.9861684927597
102.0,860.3570324204195
110.0,1018.1114265181636
112.0,835.9861684927597
113.0,845.372693004699
114.0,903.0751855504483
121.0,1018.1114265181636
123.0,830.9283637291262
124.0,834.752626916896
125.0,903.0751855504483
132.0,1018.1114265181636
134.0,830.9283637291262
135.0,834.752626916896
136.0,903.0751855504483
144.0,862.5139599215257
145.0,830.9283637291262
146.0,834.752626916896
147.0,903.0751855504483
155.0,862.5139599215257
156.0,830.9283637291262
157.0,834.752626916896
158.0,903.0751855504483
166.0,862.5139599215257
167.0,830.9283637291262
168.0,834.752626916896
170.0,902.513582040206
177.0,862.5139599215257
178.0,830.9283637291262
179.0,835.2510456978649
180.0,822.2136583948169
181.0,902.513582040206
188.0,862.5139599215257
189.0,830.9283637291262
190.0,835.2510456978649
191.0,822.2136583948169
193.0,864.0169657875798
200.0,834.4286918783376
201.0,835.2510456978649
202.0,822.2136583948169
205.0,814.7956430835377
211.0,872.5066923582161
212.0,806.1076028829334
213.0,822.2136583948169
216.0,814.7956430835377
222.0,872.5066923582161
223.0,806.1076028829334
224.0,822.2136583948169
227.0,814.7956430835377
233.0,841.4293481767605
234.0,816.1895095828825
236.0,785.7833743785171
238.0,814.7956430835377
244.0,841.4293481767605
245.0,816.1895095828825
247.0,785.7833743785171
249.0,814.7956430835377
255.0,841.4293481767605
256.0,816.1895095828825
258.0,785.7833743785171
260.0,814.7956430835377
266.0,841.4293481767605
267.0,816.1895095828825
269.0,785.7833743785171
271.0,814.7956430835377
277.0,841.4293481767605
278.0,806.9769892419697
279.0,813.4441744660911
280.0,785.7833743785171
282.0,814.7956430835377
288.0,841.4293481767605
289.0,806.9769892419697
290.0,813.4441744660911
291.0,785.7833743785171
293.0,814.7956430835377
299.0,841.4293481767605
300.0,806.9769892419697
301.0,813.4441744660911
302.0,785.7833743785171
304.0,814.7956430835377
310.0,841.4293481767605
311.0,806.9769892419697
312.0,813.4441744660911
313.0,785.7833743785171
315.0,814.7956430835377
322.0,805.6725411178702
323.0,813.4441744660911
324.0,785.7833743785171
326.0,814.7956430835377
333.0,794.635397023944
334.0,824.5848029706646
335.0,785.7833743785171
337.0,814.7956430835377
344.0,794.635397023944
345.0,824.5848029706646
346.0,785.7833743785171
348.0,814.7956430835377
355.0,794.635397023944
356.0,824.5848029706646
357.0,785.7833743785171
359.0,814.7956430835377
366.0,774.0081505710326
367.0,824.3431839127417
368.0,785.7833743785171
370.0,814.7956430835377
377.0,774.0081505710326
378.0,824.3431839127417
379.0,785.7833743785171
382.0,814.2340395732957
388.0,774.0081505710326
389.0,824.3431839127417
390.0,785.7833743785171
393.0,814.2340395732957
399.0,774.0081505710326
400.0,824.3431839127417
401.0,785.7833743785171
404.0,814.2340395732957
410.0,774.0081505710326
411.0,824.3431839127417
412.0,785.7833743785171
415.0,814.2340395732957
421.0,774.0081505710326
422.0,824.3431839127417
423.0,785.7833743785171
426.0,814.2340395732957
432.0,774.0081505710326
433.0,824.3431839127417
434.0,785.7833743785171
437.0,814.2340395732957
