Iteration,Fitness
0,1380.8559100355546
1,1391.1031995853043
2,1352.9319531181425
3,1316.4198584603125
4,1290.3393147032766
5,1261.5292945263147
6,1213.2724020635826
7,1180.6467727447648
8,1119.2900202597957
9,1105.1845851415812
10,1080.4420824612512
11,1077.2202738499452
12,1055.2071644191228
13,1047.155530987174
14,1044.0395670555076
15,1043.4974325682215
16,1025.5004132370946
17,992.6806592518224
18,967.0753935233778
19,926.199128491115
20,920.8131105880849
21,923.6304096777586
22,921.7738779893972
23,920.6980063130403
24,920.6980063130403
25,918.428912027265
26,912.7737627527512
27,912.7737627527512
28,916.9756106982668
29,883.3466451479686
30,893.609533667307
31,893.609533667307
32,893.609533667307
33,892.2094268704714
34,867.4900277821437
35,867.4900277821437
36,867.4900277821437
37,858.3824567780687
38,858.3824567780687
39,878.0941788794686
40,878.0941788794686
41,878.0941788794686
42,878.0941788794686
43,878.0941788794686
44,844.1801208994625
45,867.5608485618507
46,867.5608485618507
47,856.5171363826784
48,856.5171363826784
49,856.5171363826784
50,856.5171363826784
51,856.5171363826784
52,856.5171363826784
53,800.4547486214722
54,800.4547486214722
55,800.4547486214722
56,800.4547486214722
57,800.4547486214722
58,800.4547486214722
59,718.6772744381386
60,718.6772744381386
61,718.6772744381386
62,718.6772744381386
63,718.6772744381386
64,718.6772744381386
65,718.6772744381386
66,718.6772744381386
67,718.6772744381386
68,718.6772744381386
69,718.6772744381386
