size,Fitness
10,718.6772744381386
20,1315.5839135323647
30,1524.054315107531
40,1891.1996529932355
50,2547.819025289048
60,2921.7145462534727
70,3592.3033400786144
80,4019.0813146711057
90,4641.921507476222
