Iteration,FEvals
364.0,4021.0
365.0,4032.0
366.0,4043.0
367.0,4054.0
368.0,4065.0
369.0,4076.0
370.0,4087.0
371.0,4098.0
372.0,4109.0
373.0,4120.0
374.0,4131.0
375.0,4142.0
376.0,4153.0
377.0,4164.0
378.0,4175.0
379.0,4186.0
380.0,4197.0
381.0,4208.0
382.0,4219.0
383.0,4230.0
384.0,4241.0
385.0,4252.0
386.0,4263.0
387.0,4274.0
388.0,4285.0
389.0,4296.0
390.0,4307.0
391.0,4318.0
392.0,4329.0
393.0,4340.0
394.0,4351.0
395.0,4362.0
396.0,4373.0
397.0,4384.0
398.0,4395.0
399.0,4406.0
400.0,4417.0
401.0,4428.0
402.0,4439.0
403.0,4450.0
404.0,4461.0
405.0,4472.0
406.0,4483.0
407.0,4494.0
408.0,4505.0
409.0,4516.0
410.0,4527.0
411.0,4538.0
412.0,4549.0
413.0,4560.0
414.0,4571.0
415.0,4582.0
416.0,4593.0
417.0,4604.0
418.0,4615.0
419.0,4626.0
420.0,4637.0
421.0,4648.0
422.0,4659.0
423.0,4670.0
424.0,4681.0
425.0,4692.0
426.0,4703.0
427.0,4714.0
428.0,4725.0
429.0,4736.0
430.0,4747.0
431.0,4758.0
432.0,4769.0
433.0,4780.0
434.0,4791.0
435.0,4802.0
436.0,4813.0
437.0,4824.0
438.0,4835.0
439.0,4846.0
440.0,4857.0
441.0,4868.0
442.0,4879.0
443.0,4890.0
444.0,4901.0
445.0,4912.0
446.0,4923.0
447.0,4934.0
448.0,4945.0
449.0,4956.0
450.0,4967.0
451.0,4978.0
452.0,4989.0
453.0,5000.0
454.0,5011.0
455.0,5022.0
456.0,5033.0
457.0,5044.0
458.0,5055.0
459.0,5066.0
460.0,5077.0
461.0,5088.0
462.0,5099.0
463.0,5110.0
464.0,5121.0
465.0,5132.0
466.0,5143.0
467.0,5154.0
468.0,5165.0
469.0,5176.0
470.0,5187.0
471.0,5198.0
472.0,5209.0
473.0,5220.0
474.0,5231.0
475.0,5242.0
476.0,5253.0
477.0,5264.0
478.0,5275.0
479.0,5286.0
480.0,5297.0
481.0,5308.0
482.0,5319.0
483.0,5330.0
484.0,5341.0
485.0,5352.0
486.0,5363.0
487.0,5374.0
488.0,5385.0
489.0,5396.0
490.0,5407.0
491.0,5418.0
492.0,5429.0
493.0,5440.0
494.0,5451.0
495.0,5462.0
496.0,5473.0
497.0,5484.0
498.0,5495.0
499.0,5506.0
500.0,5517.0
501.0,5528.0
502.0,5539.0
503.0,5550.0
504.0,5561.0
505.0,5572.0
506.0,5583.0
507.0,5594.0
508.0,5605.0
509.0,5616.0
510.0,5627.0
511.0,5638.0
512.0,5649.0
513.0,5660.0
514.0,5671.0
515.0,5682.0
516.0,5693.0
517.0,5704.0
518.0,5715.0
519.0,5726.428571428572
520.0,5737.428571428572
521.0,5748.428571428572
522.0,5759.428571428572
523.0,5770.428571428572
524.0,5781.428571428572
525.0,5792.428571428572
526.0,5803.428571428572
527.0,5814.428571428572
528.0,5825.428571428572
529.0,5836.428571428572
530.0,5847.428571428572
531.0,5858.428571428572
532.0,5869.428571428572
533.0,5880.428571428572
534.0,5891.428571428572
535.0,5902.428571428572
536.0,5913.428571428572
537.0,5924.428571428572
538.0,5935.428571428572
539.0,5946.428571428572
540.0,5957.428571428572
541.0,5968.428571428572
542.0,5979.428571428572
543.0,5990.428571428572
544.0,6001.428571428572
545.0,6012.428571428572
546.0,6023.428571428572
547.0,6034.428571428572
548.0,6045.428571428572
549.0,6056.428571428572
550.0,6067.428571428572
551.0,6078.428571428572
552.0,6089.833333333333
553.0,6100.833333333333
554.0,6111.833333333333
555.0,6122.833333333333
556.0,6133.833333333333
557.0,6144.833333333333
558.0,6155.833333333333
559.0,6166.833333333333
560.0,6177.833333333333
561.0,6188.833333333333
562.0,6200.2
563.0,6211.2
564.0,6222.2
565.0,6233.5
566.0,6244.5
567.0,6255.5
568.0,6266.5
569.0,6278.0
570.0,6289.0
571.0,6300.0
572.0,6311.0
573.0,6322.0
574.0,6333.0
575.0,6344.0
576.0,6355.0
577.0,6366.0
578.0,6377.0
579.0,6388.0
580.0,6399.0
581.0,6410.0
582.0,6421.0
583.0,6432.5
584.0,6443.5
585.0,6454.5
586.0,6465.5
587.0,6476.5
588.0,6487.5
589.0,6498.5
590.0,6509.5
591.0,6520.5
592.0,6531.5
593.0,6542.5
594.0,6553.5
595.0,6564.5
596.0,6575.5
597.0,6586.5
598.0,6597.5
599.0,6608.5
600.0,6619.5
601.0,6630.5
602.0,6641.5
603.0,6652.5
604.0,6663.5
605.0,6674.5
606.0,6685.5
607.0,6696.5
608.0,6707.5
609.0,6718.5
610.0,6729.5
611.0,6740.5
612.0,6751.5
613.0,6762.5
614.0,6773.5
615.0,6784.5
616.0,6795.5
617.0,6806.5
618.0,6817.5
619.0,6828.5
620.0,6839.5
621.0,6850.5
622.0,6861.5
623.0,6872.5
624.0,6883.5
625.0,6894.5
626.0,6905.5
627.0,6916.5
628.0,6927.5
629.0,6938.5
630.0,6949.5
631.0,6960.5
632.0,6971.5
633.0,6982.5
634.0,6993.5
635.0,7003.0
636.0,7014.0
637.0,7025.0
638.0,7036.0
639.0,7047.0
640.0,7058.0
641.0,7069.0
642.0,7080.0
643.0,7091.0
644.0,7102.0
645.0,7113.0
646.0,7124.0
647.0,7135.0
648.0,7146.0
649.0,7157.0
650.0,7168.0
651.0,7179.0
652.0,7190.0
653.0,7201.0
654.0,7212.0
655.0,7223.0
656.0,7234.0
657.0,7245.0
