Iteration,Fitness
0.0,1380.8559100355549
1.0,1391.1031995853043
2.0,1352.9319531181427
3.0,1316.4198584603125
4.0,1290.3393147032766
5.0,1261.5292945263147
6.0,1213.2724020635828
7.0,1180.6467727447648
8.0,1119.2900202597957
9.0,1105.1845851415815
10.0,1080.442082461251
11.0,1077.2202738499452
12.0,1055.2071644191226
13.0,1047.1555309871737
14.0,1044.0395670555076
15.0,1043.4974325682213
16.0,1025.5004132370946
17.0,992.6806592518225
18.0,967.075393523378
19.0,926.1991284911151
20.0,920.8131105880851
21.0,923.6304096777586
22.0,921.7738779893972
23.0,920.6980063130403
24.0,920.6980063130403
25.0,918.428912027265
26.0,912.773762752751
27.0,912.773762752751
28.0,916.9756106982667
29.0,883.3466451479686
30.0,893.6095336673071
31.0,893.6095336673071
32.0,893.6095336673071
33.0,892.2094268704715
34.0,867.4900277821437
35.0,867.4900277821437
36.0,867.4900277821437
37.0,858.3824567780687
38.0,858.3824567780687
39.0,878.0941788794686
40.0,878.0941788794686
41.0,878.0941788794686
42.0,878.0941788794686
43.0,878.0941788794686
44.0,844.1801208994625
45.0,867.5608485618508
46.0,867.5608485618508
47.0,856.5171363826784
48.0,856.5171363826784
49.0,856.5171363826784
50.0,856.5171363826784
51.0,856.5171363826784
52.0,856.5171363826784
53.0,800.4547486214723
54.0,800.4547486214723
55.0,800.4547486214723
56.0,800.4547486214723
57.0,800.4547486214723
58.0,800.4547486214723
59.0,718.6772744381386
60.0,718.6772744381386
61.0,718.6772744381386
62.0,718.6772744381386
63.0,718.6772744381386
64.0,718.6772744381386
65.0,718.6772744381386
66.0,718.6772744381386
67.0,718.6772744381386
68.0,718.6772744381386
69.0,718.6772744381386
