size,Fitness
10,818.3622562723731
20,1732.2566592937865
30,2971.3187132690364
40,4044.7447799311676
50,5425.042125723941
60,6702.7900684044625
70,7909.8786965196205
80,9045.296352568837
90,10033.358031273237
