FEvals,Fitness
0.0,13.875
1.0,29.666666666666668
2.0,9.166666666666666
3.0,24.0
4.0,14.0
5.0,26.0
6.0,15.0
7.0,23.333333333333332
8.0,20.2
9.0,26.8
10.0,13.0
11.0,26.8
12.0,18.333333333333332
13.0,31.5
14.0,18.666666666666668
15.0,32.5
16.0,23.25
17.0,31.0
18.0,22.285714285714285
19.0,26.0
20.0,23.666666666666668
21.0,21.75
22.0,26.8
23.0,29.2
24.0,24.4
25.0,28.0
26.0,30.428571428571427
27.0,20.666666666666668
28.0,29.0
29.0,30.0
30.0,27.0
31.0,24.25
32.0,28.142857142857142
33.0,29.25
34.0,27.5
35.0,27.333333333333332
36.0,27.333333333333332
37.0,30.5
38.0,27.0
39.0,29.625
40.0,29.333333333333332
41.0,28.333333333333332
42.0,30.75
43.0,28.0
44.0,27.2
45.0,30.5
46.0,29.625
47.0,27.2
48.0,31.2
49.0,29.625
50.0,31.666666666666668
51.0,28.5
52.0,31.666666666666668
53.0,29.714285714285715
54.0,28.666666666666668
55.0,31.0
56.0,29.0
57.0,29.333333333333332
58.0,29.0
59.0,29.333333333333332
60.0,30.0
61.0,27.8
62.0,32.2
63.0,31.0
64.0,29.666666666666668
65.0,29.666666666666668
66.0,32.5
67.0,27.0
68.0,32.0
69.0,30.166666666666668
70.0,30.5
71.0,32.25
72.0,31.5
73.0,32.75
74.0,30.666666666666668
75.0,34.2
76.0,32.625
77.0,34.8
78.0,32.333333333333336
79.0,33.625
80.0,33.42857142857143
81.0,36.0
82.0,33.0
83.0,35.333333333333336
84.0,33.714285714285715
85.0,33.714285714285715
86.0,35.25
87.0,32.666666666666664
88.0,34.125
89.0,34.5
90.0,33.666666666666664
91.0,33.0
92.0,32.4
93.0,34.285714285714285
94.0,31.0
95.0,36.714285714285715
96.0,34.375
97.0,30.5
98.0,34.5
99.0,33.0
100.0,34.625
101.0,34.142857142857146
102.0,36.5
103.0,33.285714285714285
104.0,34.142857142857146
105.0,33.0
106.0,37.285714285714285
107.0,34.57142857142857
108.0,34.166666666666664
109.0,33.833333333333336
110.0,33.666666666666664
111.0,37.5
112.0,35.375
113.0,33.4
114.0,35.625
115.0,35.0
116.0,35.714285714285715
117.0,35.625
118.0,35.285714285714285
119.0,35.625
120.0,33.8
121.0,35.625
122.0,32.25
123.0,35.42857142857143
124.0,38.5
125.0,35.75
126.0,34.857142857142854
127.0,35.42857142857143
128.0,37.2
129.0,35.833333333333336
130.0,36.0
131.0,38.2
132.0,35.857142857142854
133.0,36.375
134.0,36.57142857142857
135.0,36.142857142857146
136.0,35.666666666666664
137.0,35.5
138.0,38.714285714285715
139.0,36.57142857142857
140.0,36.375
141.0,34.833333333333336
142.0,36.5
143.0,38.666666666666664
144.0,36.57142857142857
145.0,36.0
146.0,36.57142857142857
147.0,36.0
148.0,37.0
149.0,37.166666666666664
150.0,37.125
151.0,36.857142857142854
152.0,37.42857142857143
153.0,36.42857142857143
154.0,37.42857142857143
155.0,38.666666666666664
156.0,36.666666666666664
157.0,37.142857142857146
158.0,39.857142857142854
159.0,37.375
160.0,37.333333333333336
161.0,40.42857142857143
162.0,37.857142857142854
163.0,37.0
164.0,40.0
165.0,38.25
166.0,37.833333333333336
167.0,40.714285714285715
168.0,38.25
169.0,38.142857142857146
170.0,40.142857142857146
171.0,43.333333333333336
172.0,43.714285714285715
173.0,43.714285714285715
174.0,44.333333333333336
175.0,44.5
176.0,44.333333333333336
177.0,44.5
178.0,44.333333333333336
179.0,44.5
180.0,43.714285714285715
181.0,44.6
182.0,44.5
183.0,43.833333333333336
184.0,44.5
185.0,43.714285714285715
186.0,44.333333333333336
187.0,43.833333333333336
188.0,43.714285714285715
189.0,45.4
190.0,44.333333333333336
191.0,44.142857142857146
192.0,44.142857142857146
193.0,44.142857142857146
194.0,44.142857142857146
195.0,45.4
196.0,44.142857142857146
197.0,44.142857142857146
198.0,45.4
199.0,44.142857142857146
200.0,45.4
201.0,44.142857142857146
202.0,44.142857142857146
203.0,45.0
204.0,44.142857142857146
205.0,43.833333333333336
206.0,43.833333333333336
207.0,44.8
208.0,43.833333333333336
209.0,44.8
210.0,43.833333333333336
211.0,44.8
212.0,43.833333333333336
213.0,43.833333333333336
214.0,44.8
215.0,43.833333333333336
216.0,44.8
217.0,44.0
218.0,44.0
219.0,44.2
220.0,45.0
221.0,44.0
222.0,45.0
223.0,44.0
224.0,44.0
225.0,45.0
226.0,44.0
227.0,44.0
228.0,44.0
229.0,45.0
230.0,44.2
231.0,45.0
232.0,44.0
233.0,44.0
234.0,44.0
235.0,44.0
236.0,44.2
237.0,45.0
238.0,44.0
239.0,44.333333333333336
240.0,45.4
241.0,44.333333333333336
242.0,44.333333333333336
243.0,44.333333333333336
244.0,44.333333333333336
245.0,44.333333333333336
246.0,44.6
247.0,44.333333333333336
248.0,44.333333333333336
249.0,45.4
250.0,44.333333333333336
251.0,45.4
252.0,44.6
253.0,44.333333333333336
254.0,44.333333333333336
255.0,44.6
256.0,44.333333333333336
257.0,44.333333333333336
258.0,45.4
259.0,44.333333333333336
260.0,44.333333333333336
261.0,44.333333333333336
262.0,45.4
263.0,44.333333333333336
264.0,44.333333333333336
265.0,46.0
266.0,43.5
267.0,45.0
268.0,43.5
269.0,43.5
270.0,43.5
271.0,45.0
272.0,43.5
273.0,42.666666666666664
274.0,42.5
275.0,44.5
276.0,42.666666666666664
277.0,42.666666666666664
278.0,42.5
279.0,42.666666666666664
280.0,46.0
281.0,42.666666666666664
282.0,44.5
283.0,42.666666666666664
284.0,44.5
