FEvals,Time
100.0,0.00046763749998035564
202.0,0.01563696250005364
304.0,0.0297015500000839
405.0,0.031891966666724635
406.0,0.049981000000002496
506.0,0.03830566000010549
507.0,0.05008056666679295
607.0,0.05007536666660902
608.0,0.05287495000004583
609.0,0.08288690000017596
708.0,0.0557926666667754
709.0,0.06069283333332957
710.0,0.07236624999995911
809.0,0.06305680000014036
810.0,0.06504952499994943
811.0,0.07903234999992037
910.0,0.06880160000014257
911.0,0.0712836000001289
912.0,0.10479620000000978
913.0,0.06603209999980209
1011.0,0.07442180000020926
1012.0,0.07806183333332228
1013.0,0.09376975000009224
1014.0,0.07165429999986372
1112.0,0.07769500000017615
1113.0,0.08367697500000304
1114.0,0.10025805000009314
1115.0,0.07706909999978961
1213.0,0.08323990000008052
1214.0,0.08965937499999654
1215.0,0.04430475000003753
1216.0,0.08250559999987672
1314.0,0.0004013000000213651
1315.0,0.00042452499997125415
1316.0,0.023706499999889274
1317.0,0.00043770000002041337
1318.0,0.00038849999987178313
1416.0,0.014228533333456047
1417.0,0.025876099999777583
1419.0,0.01297185000009904
1517.0,0.028172499999982392
1518.0,0.036270950000016455
1519.0,0.026128999999855296
1520.0,0.025172800000063944
1618.0,0.034368499999800406
1619.0,0.053611399999908826
1620.0,0.03247659999988173
1621.0,0.03182873333336526
1721.0,0.03889789999993809
1722.0,0.038017166666577396
1822.0,0.051856000000043416
1823.0,0.049395000000004075
1824.0,0.05489029999989725
1923.0,0.05788620000021182
1924.0,0.05507865000004131
1925.0,0.0652311999997437
2024.0,0.06380360000002837
2025.0,0.06074320000004718
2026.0,0.07303150000007007
2125.0,0.06978879999996934
2126.0,0.06633874999999989
2127.0,0.07919999999967331
2227.0,0.07312276666675643
2228.0,0.08544419999998354
2328.0,0.07878260000006776
2329.0,0.0916653999997834
2429.0,0.08658100000013746
2430.0,0.09786399999984496
2530.0,0.09262300000000324
2531.0,0.0004420999998728803
2631.0,0.09828809999999066
2632.0,0.014120899999852552
2732.0,0.00040749999971012585
2733.0,0.028227999999671738
2833.0,0.013241900000139141
2834.0,0.035572599999795784
2934.0,0.026837099999738708
3035.0,0.03315870000005816
3136.0,0.03995390000000043
3237.0,0.05369669999981852
