FEvals,Time
0.0,2.7077999789071328e-05
1.0,0.0010906425712684203
2.0,0.0017989511664685172
3.0,0.0019551873331996226
4.0,0.001975156249727661
5.0,0.0022533331427569336
6.0,0.0027637201427361496
7.0,0.002900892571233271
8.0,0.002939691599931393
9.0,0.0028837774996948915
10.0,0.0029296604283704903
11.0,0.0029245413999888113
12.0,0.002686005856958218
13.0,0.0028094094997565358
14.0,0.0028283927141663817
15.0,0.0028386365712711786
16.0,0.0023383329998978297
17.0,0.002422594857047703
18.0,0.0026565553331844662
19.0,0.002972590166640051
20.0,0.0027291188570026342
21.0,0.0034214579998661067
22.0,0.003038194166492758
23.0,0.0027869344282537767
24.0,0.0030573151426714113
25.0,0.0032236594999327886
26.0,0.0028806943329679293
27.0,0.0032012497997129684
28.0,0.003343166499992852
29.0,0.003432783199787082
30.0,0.003508527499889169
31.0,0.003519853999781238
32.0,0.003640833199642657
33.0,0.004093885249858431
34.0,0.0036147359996903106
35.0,0.003921610999896075
36.0,0.003934416333019423
37.0,0.004480124499878002
38.0,0.004934145500101295
39.0,0.0066589580001164
40.0,0.006671125000139
41.0,0.006682666000415338
42.0,0.006694374999824504
43.0,0.006706083000608487
