Time,FEvals
3.8583006244152784e-05,0.0
3.866699989885092e-05,0.0
3.904200275428593e-05,0.0
3.950000973418355e-05,0.0
4.0000013541430235e-05,0.0
4.037501639686525e-05,0.0
4.75000124424696e-05,0.0
6.112499977461994e-05,0.0
0.00208529201336205,2.0
0.002090207999572158,2.0
0.0021025419991929084,2.0
0.002110958012053743,2.0
0.0021154580172151327,1.0
0.0023623330052942038,2.0
0.0024315830087289214,2.0
0.0027894999948330224,2.0
0.003965625015553087,4.0
0.004223500000080094,3.0
0.005057458009105176,4.0
0.005876083014300093,5.0
0.007814582990249619,6.0
0.0086609169957228,7.0
0.009474791993852705,8.0
0.01028487499570474,9.0
0.011090832995250821,10.0
0.011917416995856911,11.0
0.01273691700771451,12.0
