,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_schedule,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,85.15087065696716,0.20481234849113372,0.002819061279296875,0.0005251372790205929,relu,[68],0.001,0.1,"{'activation': <function relu at 0x16a265c60>, 'hidden_layer_sizes': [68], 'learning_rate': 0.001, 'schedule': GeomDecay(init_temp=0.1, decay=0.99, min_temp=0.001)}",0.9700030048076923,0.9637065323876328,0.9712547200492838,0.9649890556597873,0.9574728572233596,0.9654852340255513,0.004925553295330328,1,0.963751019556739,0.9662424052887942,0.9684335691004131,0.9678093596091947,0.966875,0.9666222707110282,0.001621248588653731
1,101.22600350379943,12.466371740002002,0.003313493728637695,0.0013569145344786893,relu,[68],0.001,1.0,"{'activation': <function relu at 0x16a265c60>, 'hidden_layer_sizes': [68], 'learning_rate': 0.001, 'schedule': GeomDecay(init_temp=1.0, decay=0.99, min_temp=0.001)}",0.9700030048076923,0.9637065323876328,0.9712547200492838,0.9649890556597873,0.9574728572233596,0.9654852340255513,0.004925553295330328,1,0.963751019556739,0.9662424052887942,0.9684335691004131,0.9678093596091947,0.966875,0.9666222707110282,0.001621248588653731
2,111.23297710418701,1.5053478893263355,0.0024652004241943358,6.730390530444515e-05,relu,[68],0.001,5,"{'activation': <function relu at 0x16a265c60>, 'hidden_layer_sizes': [68], 'learning_rate': 0.001, 'schedule': GeomDecay(init_temp=5, decay=0.99, min_temp=0.001)}",0.9700030048076923,0.9637065323876328,0.9712547200492838,0.9649890556597873,0.9574728572233596,0.9654852340255513,0.004925553295330328,1,0.963751019556739,0.9662424052887942,0.9684335691004131,0.9678093596091947,0.966875,0.9666222707110282,0.001621248588653731
3,109.0788652420044,0.14165218935380391,0.002514171600341797,0.00022530106131291277,relu,[68],0.001,10,"{'activation': <function relu at 0x16a265c60>, 'hidden_layer_sizes': [68], 'learning_rate': 0.001, 'schedule': GeomDecay(init_temp=10, decay=0.99, min_temp=0.001)}",0.9700030048076923,0.9637065323876328,0.9712547200492838,0.9649890556597873,0.9574728572233596,0.9654852340255513,0.004925553295330328,1,0.963751019556739,0.9662424052887942,0.9684335691004131,0.9678093596091947,0.966875,0.9666222707110282,0.001621248588653731
4,109.93180537223816,0.23373162001939166,0.002382850646972656,0.00020314721381972737,relu,[68],0.001,100,"{'activation': <function relu at 0x16a265c60>, 'hidden_layer_sizes': [68], 'learning_rate': 0.001, 'schedule': GeomDecay(init_temp=100, decay=0.99, min_temp=0.001)}",0.9700030048076923,0.9637065323876328,0.9712547200492838,0.9649890556597873,0.9574728572233596,0.9654852340255513,0.004925553295330328,1,0.963751019556739,0.9662424052887942,0.9684335691004131,0.9678093596091947,0.966875,0.9666222707110282,0.001621248588653731
5,110.46657996177673,0.13860913764886895,0.0024854660034179686,0.0002663135912766254,relu,[68],0.001,300,"{'activation': <function relu at 0x16a265c60>, 'hidden_layer_sizes': [68], 'learning_rate': 0.001, 'schedule': GeomDecay(init_temp=300, decay=0.99, min_temp=0.001)}",0.9700030048076923,0.9637065323876328,0.9712547200492838,0.9649890556597873,0.9574728572233596,0.9654852340255513,0.004925553295330328,1,0.963751019556739,0.9662424052887942,0.9684335691004131,0.9678093596091947,0.966875,0.9666222707110282,0.001621248588653731
6,111.18784456253051,0.16902328655892193,0.0035873889923095704,0.0023385135380870827,relu,[68],0.001,1000,"{'activation': <function relu at 0x16a265c60>, 'hidden_layer_sizes': [68], 'learning_rate': 0.001, 'schedule': GeomDecay(init_temp=1000, decay=0.99, min_temp=0.001)}",0.9700030048076923,0.9637065323876328,0.9712547200492838,0.9649890556597873,0.9574728572233596,0.9654852340255513,0.004925553295330328,1,0.963751019556739,0.9662424052887942,0.9684335691004131,0.9678093596091947,0.966875,0.9666222707110282,0.001621248588653731
7,112.11562695503235,0.187075374491219,0.0027439117431640623,0.00038413166280453994,relu,[68],0.001,3000,"{'activation': <function relu at 0x16a265c60>, 'hidden_layer_sizes': [68], 'learning_rate': 0.001, 'schedule': GeomDecay(init_temp=3000, decay=0.99, min_temp=0.001)}",0.9700030048076923,0.9637065323876328,0.9712547200492838,0.9649890556597873,0.9574728572233596,0.9654852340255513,0.004925553295330328,1,0.963751019556739,0.9662424052887942,0.9684335691004131,0.9678093596091947,0.966875,0.9666222707110282,0.001621248588653731
8,112.3866021156311,0.24587320346847205,0.002658224105834961,0.0002641633357007193,relu,[68],0.01,0.1,"{'activation': <function relu at 0x16a265c60>, 'hidden_layer_sizes': [68], 'learning_rate': 0.01, 'schedule': GeomDecay(init_temp=0.1, decay=0.99, min_temp=0.001)}",0.9700030048076923,0.9637065323876328,0.9712547200492838,0.9649890556597873,0.9574728572233596,0.9654852340255513,0.004925553295330328,1,0.963751019556739,0.9662424052887942,0.9684335691004131,0.9678093596091947,0.966875,0.9666222707110282,0.001621248588653731
9,113.02438974380493,0.17574384230108533,0.002431154251098633,8.381489770019466e-05,relu,[68],0.01,1.0,"{'activation': <function relu at 0x16a265c60>, 'hidden_layer_sizes': [68], 'learning_rate': 0.01, 'schedule': GeomDecay(init_temp=1.0, decay=0.99, min_temp=0.001)}",0.9700030048076923,0.9637065323876328,0.9712547200492838,0.9649890556597873,0.9574728572233596,0.9654852340255513,0.004925553295330328,1,0.963751019556739,0.9662424052887942,0.9684335691004131,0.9678093596091947,0.966875,0.9666222707110282,0.001621248588653731
